Opcode;Description;Stack Behavior;Example
ldelem.ref;Loads the element at a specified array index onto the stack as an object reference.;Pop 2, Push;ldelem.ref
ldelem.u1;Loads the element at a specified array index onto the stack as an unsigned 1-byte integer.;Pop 2, Push;ldelem.u1
ldelem.u2;Loads the element at a specified array index onto the stack as an unsigned 2-byte integer.;Pop 2, Push;ldelem.u2
ldelem.u4;Loads the element at a specified array index onto the stack as an unsigned 4-byte integer.;Pop 2, Push;ldelem.u4
ldelem.u8;Loads the element at a specified array index onto the stack as an unsigned 8-byte integer.;Pop 2, Push;ldelem.u8
ldelema;Loads the address of the element at a specified array index onto the stack.;Pop 2, Push;ldelema MyType
ldfld;Loads the value of a field of an object.;Pop 1, Push;ldfld MyField
ldflda;Loads the address of a field of an object.;Pop 1, Push;ldflda MyField
ldftn;Pushes a method pointer onto the stack.;Push;ldftn MyMethod
ldind.i;Loads a value of type native integer indirectly from a memory address.;Pop 1, Push;ldind.i
ldind.i1;Loads a value of type signed 1-byte integer indirectly from a memory address.;Pop 1, Push;ldind.i1
ldind.i2;Loads a value of type signed 2-byte integer indirectly from a memory address.;Pop 1, Push;ldind.i2
ldind.i4;Loads a value of type signed 4-byte integer indirectly from a memory address.;Pop 1, Push;ldind.i4
ldind.i8;Loads a value of type signed 8-byte integer indirectly from a memory address.;Pop 1, Push;ldind.i8
ldind.r4;Loads a value of type 4-byte floating-point indirectly from a memory address.;Pop 1, Push;ldind.r4
ldind.r8;Loads a value of type 8-byte floating-point indirectly from a memory address.;Pop 1, Push;ldind.r8
ldind.ref;Loads an object reference indirectly from a memory address.;Pop 1, Push;ldind.ref
ldind.u1;Loads a value of type unsigned 1-byte integer indirectly from a memory address.;Pop 1, Push;ldind.u1
ldind.u2;Loads a value of type unsigned 2-byte integer indirectly from a memory address.;Pop 1, Push;ldind.u2
ldind.u4;Loads a value of type unsigned 4-byte integer indirectly from a memory address.;Pop 1, Push;ldind.u4
ldlen;Pushes the number of elements in an array onto the stack.;Pop 1, Push;ldlen
ldloc;Loads a local variable onto the stack by index.;Push;ldloc 0
ldloc.0;Loads the local variable at index 0 onto the stack.;Push;ldloc.0
ldloc.1;Loads the local variable at index 1 onto the stack.;Push;ldloc.1
ldloc.2;Loads the local variable at index 2 onto the stack.;Push;ldloc.2
ldloc.3;Loads the local variable at index 3 onto the stack.;Push;ldloc.3
ldloc.s;Loads a local variable onto the stack by index (short form).;Push;ldloc.s 1
ldloca;Loads the address of a local variable onto the stack by index.;Push;ldloca 0
ldloca.s;Loads the address of a local variable onto the stack by index (short form).;Push;ldloca.s 1
ldnull;Pushes a null reference onto the stack.;Push;ldnull
ldobj;Loads a value type from a specific address.;Pop 1, Push;ldobj MyValueType
ldsfld;Loads the value of a static field.;Push;ldsfld MyStaticField
ldsflda;Loads the address of a static field.;Push;ldsflda MyStaticField
ldstr;Pushes a string literal onto the stack.;Push;ldstr "Hello, World!"
ldtoken;Pushes a runtime handle for a type, method, or field onto the stack.;Push;ldtoken MyType
ldvirtftn;Pushes a pointer to a virtual method associated with an object onto the stack.;Pop 1, Push;ldvirtftn MyVirtualMethod
leave;Exits a protected region of code and branches to a target instruction.;None;leave target
leave.s;Exits a protected region of code and branches to a target instruction (short form).;None;leave.s target
localloc;Allocates space from the local memory pool.;Pop 1, Push;localloc
mkrefany;Pushes a typed reference onto the stack.;Pop 1, Push;mkrefany MyType
mul;Multiplies two values and pushes the result onto the stack.;Pop 2, Push;mul // a * b
mul.ovf;Multiplies two values with overflow checking.;Pop 2, Push;mul.ovf // a * b with overflow check
mul.ovf.un;Multiplies two unsigned values with overflow checking.;Pop 2, Push;mul.ovf.un // unsigned a * b with overflow check
neg;Negates a value and pushes the result onto the stack.;Pop 1, Push;neg // -a
newarr;Creates a new array with elements of a specified type.;Pop 1, Push;newarr MyType
newobj;Creates a new object and calls its constructor.;Pop arguments, Push;newobj MyConstructor
nop;Does nothing (no operation).;None;nop
not;Computes the bitwise complement of an integer value.;Pop 1, Push;not // ~a
or;Computes the bitwise OR of two integer values.;Pop 2, Push;or // a | b
pop;Removes the value on the top of the stack.;Pop 1;pop
readonly.;Specifies that an address operation uses a read-only address.;None;readonly.
refanytype;Pushes the type token stored in a typed reference.;Pop 1, Push;refanytype
refanyval;Retrieves the address of the value in a typed reference.;Pop 1, Push;refanyval MyType
rem;Divides two values and pushes the remainder onto the stack.;Pop 2, Push;rem // a % b
rem.un;Divides two unsigned values and pushes the remainder onto the stack.;Pop 2, Push;rem.un // unsigned a % b
ret;Returns from the current method.;Pop 1 (if return value);ret
rethrow;Re-throws the current exception.;None;rethrow
shl;Shifts an integer value to the left by a specified number of bits.;Pop 2, Push;shl // a << b
shr;Shifts an integer value to the right by a specified number of bits.;Pop 2, Push;shr // a >> b
shr.un;Shifts an unsigned integer value to the right by a specified number of bits.;Pop 2, Push;shr.un // unsigned a >> b
sizeof;Pushes the size, in bytes, of a type onto the stack.;Push;sizeof MyType
starg;Stores a value from the stack into an argument.;Pop 1;starg 0
starg.s;Stores a value from the stack into an argument (short form).;Pop 1;starg.s 1
stelem;Stores a value from the stack into an array element at a specified index.;Pop 3;stelem MyType
stelem.i;Stores a value of type native integer into an array element.;Pop 3;stelem.i
stelem.i1;Stores a value of type signed 1-byte integer into an array element.;Pop 3;stelem.i1
stelem.i2;Stores a value of type signed 2-byte integer into an array element.;Pop 3;stelem.i2
stelem.i4;Stores a value of type signed 4-byte integer into an array element.;Pop 3;stelem.i4
stelem.i8;Stores a value of type signed 8-byte integer into an array element.;Pop 3;stelem.i8
stelem.r4;Stores a value of type 4-byte floating-point into an array element.;Pop 3;stelem.r4
stelem.r8;Stores a value of type 8-byte floating-point into an array element.;Pop 3;stelem.r8
stelem.ref;Stores a value of type object reference into an array element.;Pop 3;stelem.ref
stfld;Stores a value from the stack into a field of an object.;Pop 2;stfld MyField
stind.i;Stores a value of type native integer into a memory address.;Pop 2;stind.i
stind.i1;Stores a value of type signed 1-byte integer into a memory address.;Pop 2;stind.i1
stind.i2;Stores a value of type signed 2-byte integer into a memory address.;Pop 2;stind.i2
stind.i4;Stores a value of type signed 4-byte integer into a memory address.;Pop 2;stind.i4
stind.i8;Stores a value of type signed 8-byte integer into a memory address.;Pop 2;stind.i8
stind.r4;Stores a value of type 4-byte floating-point into a memory address.;Pop 2;stind.r4
stind.r8;Stores a value of type 8-byte floating-point into a memory address.;Pop 2;stind.r8
stind.ref;Stores a value of type object reference into a memory address.;Pop 2;stind.ref
stloc;Stores a value from the stack into a local variable by index.;Pop 1;stloc 0
stloc.0;Stores the value on the stack into the local variable at index 0.;Pop 1;stloc.0
stloc.1;Stores the value on the stack into the local variable at index 1.;Pop 1;stloc.1
stloc.2;Stores the value on the stack into the local variable at index 2.;Pop 1;stloc.2
stloc.3;Stores the value on the stack into the local variable at index 3.;Pop 1;stloc.3
stloc.s;Stores a value from the stack into a local variable by index (short form).;Pop 1;stloc.s 1
stobj;Stores a value of a specified type into a memory address.;Pop 2;stobj MyValueType
stsfld;Stores a value from the stack into a static field.;Pop 1;stsfld MyStaticField
sub;Subtracts one value from another and pushes the result onto the stack.;Pop 2, Push;sub // a - b
sub.ovf;Subtracts one value from another with overflow checking.;Pop 2, Push;sub.ovf // a - b with overflow check
sub.ovf.un;Subtracts one unsigned value from another with overflow checking.;Pop 2, Push;sub.ovf.un // unsigned a - b with overflow check
switch;Implements a jump table for branch operations.;Pop 1;switch case1, case2, case3
tail.;Indicates that the subsequent call instruction is a tail call.;None;tail.
throw;Throws the exception object currently on the stack.;Pop 1;throw
unaligned.;Indicates that an address is unaligned.;None;unaligned. 1
unbox;Converts an object reference to a value type pointer.;Pop 1, Push;unbox MyValueType
unbox.any;Converts an object reference to a value type or extracts a boxed value.;Pop 1, Push;unbox.any MyValueType
volatile.;Indicates that an operation is volatile.;None;volatile.
xor;Computes the bitwise XOR of two integer values.;Pop 2, Push;xor // a ^ b
